Key,Русский,English,繁體中文
Lvl4.Text1,Лицей Людовика Великого… Отец показывал мне это место. Отсюда рукой подать до Лувра.,The Lyceum Louis-le-Grand… Father showed me this place once. The Louvre is just a stone’s throw from here.,路易大帝國中……父親曾帶我來過這裡。這裡距離羅浮宮僅僅幾步之遙。
Lvl4.Text2,"Понимаю, сейчас ночь. Но даже в это время по центральным улицам города обычно снуют экипажи. Куда же они подевались сегодня?","I understand it’s night, but even at this hour, carriages usually bustle through the main streets. Where is everyone tonight?",雖然夜已經深了，但往常這時候，主街上還車水馬龍呢。人都去哪裡了？
Lvl4.Text3,"Такая темень, что хоть глаз выколи. Ничего не видно. Придётся возвращаться.","It’s so dark, I can’t see a thing. Pitch black — like the city’s vanished into shadow. I’ll have to turn back.",天太黑了，我什麼都看不見。伸手不見五指，整座城市就像被一團黑幕籠罩了一樣。必須要折返了。
Lvl4.Text4,"Очень темно, надо возвращаться.",It’s too dark. I need to go back.,太黑了。我必須要回去了。
Lvl4.Text5,,,
Lvl4.Text6,,,
Lvl4.Text7,,,
Lvl4.Text8,,,
Lvl4.Text9,,,
Lvl4.Text10,,,
Lvl4.Text11,,,
Lvl4.Text12,,,
Lvl4.Text13,,,
Lvl4.Text14,,,
Lvl4.Text15,,,
Lvl4.Text16,,,
Lvl4.Text17,,,
Lvl4.Text18,,,
Lvl4.Text19,,,
Lvl4.Text20,,,
Lvl4.Text21,,,
Lvl4.Text22,,,
Lvl4.Text23,,,
Lvl4.Text24,,,
Lvl4.Text25,,,
Lvl4.Text26,,,
Lvl4.Text27,,,
Lvl4.Text28,,,
Lvl4.Text29,,,
Lvl4.Text30,,,
Lvl4.Text31,,,
Lvl4.Text32,,,
